region_code,region_lat_center,region_lon_center,event_count,mag_mean,mag_max,depth_mean,sig_mean,tsunami_rate,event_share
G015_082,-51.25,26.25,16,4.55625,5.3,10.0,320.875,0.0,5.346680429913207e-06
G029_086,-16.25,36.25,16,4.4875,5.5,11.390625,314.5,0.0,5.346680429913207e-06
G014_060,-53.75,-28.75,16,4.60625,5.2,22.449375,328.0,0.0,5.346680429913207e-06
G025_101,-26.25,73.75,16,4.26875,5.7,10.0,301.375,0.0,5.346680429913207e-06
G053_086,43.75,36.25,16,3.5375,4.6,17.5275,223.375,0.0,5.346680429913207e-06
G049_092,33.75,51.25,16,4.4875,5.5,13.00625,314.5,0.0,5.346680429913207e-06
G015_128,-51.25,141.25,16,4.53125,5.2,12.094375,317.0625,0.0,5.346680429913207e-06
G038_095,6.25,58.75,16,4.5375,5.5,9.625,318.375,0.0,5.346680429913207e-06
G017_040,-46.25,-78.75,16,4.54375,5.8,10.859375,320.0625,0.0,5.346680429913207e-06
G014_077,-53.75,13.75,16,4.6875,5.3,10.454375,339.375,0.0,5.346680429913207e-06
G056_114,51.25,106.25,16,4.53125,5.4,11.678125,321.125,0.0,5.346680429913207e-06
G063_078,68.75,16.25,15,2.3400000000000003,3.4,7.239999999999999,89.0,0.0,5.012512903043631e-06
G059_120,58.75,121.25,15,3.96,5.4,10.433333333333334,260.6,0.0,5.012512903043631e-06
G025_124,-26.25,131.25,15,3.86,5.3,6.983333333333333,239.73333333333332,0.0,5.012512903043631e-06
G070_109,86.25,93.75,15,4.6,5.5,10.0,327.3333333333333,0.0,5.012512903043631e-06
G054_126,46.25,136.25,15,4.286666666666666,6.0,339.0585333333333,291.8666666666667,0.0,5.012512903043631e-06
G055_080,48.75,21.25,15,3.4466666666666668,5.0,9.297466666666667,215.2,0.0,5.012512903043631e-06
G069_118,83.75,116.25,15,4.180000000000001,5.4,10.0,290.8666666666667,0.0,5.012512903043631e-06
G057_070,53.75,-3.75,15,2.9,3.8,8.78,140.53333333333333,0.0,5.012512903043631e-06
G021_131,-36.25,148.75,15,2.8800000000000003,3.7,7.666666666666667,130.8,0.0,5.012512903043631e-06
G039_046,8.75,-63.75,15,4.22,4.9,22.23933333333333,275.8666666666667,0.0,5.012512903043631e-06
G015_026,-51.25,-113.75,15,5.386666666666667,6.1,10.0,450.3333333333333,0.0,5.012512903043631e-06
